title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score,#_of_nominations,#_of_wins
Capturing the Friedmans,107,7.7,25492,158,68,90,38,1,0,8,37,2,3,1,0
Carmen Jones,105,6.7,5173,64,43,65,5,5,0,0,0,0,0,2,0
Carnal Knowledge,98,7,12642,96,45,77,4,4,0,0,1,1,0,1,0
Carrie,98,7.4,181618,607,188,85,12,2,0,8.1,90,12,4,4,0
Cars,117,7.2,403517,742,253,73,29,9,1,7.5,547,125,59,2,0
Casablanca,102,8.5,557471,1400,211,100,18,0,0,8.8,377,11,14,8,3
Casino,178,8.2,503733,726,125,73,13,3,1,8.8,583,23,20,1,0
Casino Royale,131,5.1,29735,303,81,48,1,9,1,3.1,2,4,12,1,0
Cast Away,143,7.8,573385,1200,110,73,27,4,1,7.7,431,41,58,2,0
Cat Ballou,97,6.8,14689,109,48,60,3,4,0,6.3,3,3,0,5,1
Cat on a Hot Tin Roof,108,8,48710,185,85,84,12,4,0,7.6,10,1,0,6,0
Central Station,110,8,39098,282,69,80,22,2,0,8.6,77,2,9,2,0
Chances Are,108,6.4,12752,69,23,62,7,12,0,6.2,2,3,0,1,0
Changeling,141,7.8,251898,494,269,63,23,12,3,7.8,185,28,13,3,0
Chaplin,143,7.5,57094,191,62,47,4,17,1,7.4,14,5,0,3,0
Charade,113,7.9,75456,349,91,83,13,3,0,8.5,23,1,0,2,1
Chariots of Fire,125,7.1,59277,259,96,78,13,5,1,7.2,10,5,0,7,4
Charlie Wilson's War,102,7,116988,336,249,67,33,3,3,6.7,108,39,16,1,0
Charlie and the Chocolate Factory,115,6.7,463368,1500,263,72,32,7,1,6.7,350,127,96,1,0
Chasing Ice,75,7.7,8629,41,73,75,14,1,0,8.2,18,3,0,1,0
Chicago,113,7.2,226936,1000,213,81,32,5,2,7.9,190,38,10,13,6
Chico & Rita,94,7.2,9125,47,117,76,21,6,0,7.3,18,2,3,1,0
Children Underground,104,8.2,2351,20,11,85,7,0,0,7.6,11,0,3,1,0
Children of Heaven,89,8.2,73173,201,59,77,10,3,1,7.6,9,0,2,1,0
Children of Men,109,7.9,490641,1400,327,84,37,1,0,8.5,1150,78,115,3,0
Children of Paradise,189,8.3,19621,110,122,96,19,1,0,8.1,11,2,1,1,0
Children of a Lesser God,119,7.2,16732,72,34,80,10,3,0,7.8,4,0,0,5,1
Chinatown,130,8.2,318393,595,161,92,22,0,0,8.8,331,19,6,11,1
Chitty Chitty Bang Bang,144,6.9,45350,216,58,64,3,3,0,4.4,1,2,2,1,0
Chocolat,121,7.3,188589,549,94,64,22,7,2,7.2,82,28,9,5,0
Cimarron,123,5.9,6118,82,41,70,4,2,0,0,1,0,0,9,3
Cinderella,74,7.3,156490,179,126,85,14,1,0,7.6,43,9,2,4,0
Cinderella Man,144,8,184823,612,206,69,31,6,3,8.8,303,9,11,3,0
Cinema Paradiso,155,8.5,253371,581,118,80,18,3,0,8.8,174,9,8,1,1
Citizen Kane,119,8.3,432850,1600,265,100,19,0,0,8.4,637,54,40,9,1
City Slickers,113,6.8,55538,107,54,70,19,6,0,7.5,8,3,0,1,1
City of God,130,8.6,738696,1.1,213,79,27,6,0,9,500,12,20,4,0
Clear and Present Danger,141,6.9,97701,173,53,74,10,4,0,7.4,50,10,8,2,0
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,14,5
Click,107,6.4,324054,844,160,45,11,14,10,6.6,216,78,65,1,0
Cliffhanger,113,6.5,127908,240,85,60,9,6,1,8.2,132,25,12,3,0
Close Encounters of the Third Kind,138,7.6,197444,492,228,90,10,0,0,7.8,185,34,7,9,2
Closer,104,7.2,214984,992,195,65,28,12,2,8.7,398,40,22,2,0
Coal Miner's Daughter,124,7.5,18342,108,50,87,6,0,0,6.8,6,0,2,7,1
Cocoon,117,6.7,62349,104,61,65,10,7,0,7.9,14,4,0,2,2
Cold Mountain,154,7.2,147109,723,171,73,34,6,1,5.8,106,24,51,7,1
Collateral,120,7.5,388836,983,229,71,33,8,0,8.7,442,35,9,2,0
