title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score
Chip an' Dale,7 min,7.3,1628,9,,,,,,,,,
Good News,93 min,6.8,2595,46,15,,,,,,,,
Road to Rio,100 min,6.9,3303,27,19,,,,,,,,
Fight of the Wild Stallions,20 min,5.2,34,,,,,,,,,,
My Wild Irish Rose,101 min,6.3,405,20,4,,,,,,,,
Captain from Castile,140 min,6.8,1994,55,24,,,,,,,,
A Double Life,104 min,7.0,3469,59,39,,,,,,,,
T-Men,92 min,6.9,3564,46,39,,,,,,,,
Pluto's Blue Note,7 min,6.7,418,4,,,,,,,,,
The Paradine Case,125 min,6.5,11158,117,44,,,,,,,,
A Voice Is Born,21 min,6.5,11158,,,,,,,,,,
"Brooklyn, U.S.A.",10 min,4.9,16,,,,,,,,,,
First Steps,10 min,6.4,59,2,,,,,,,,,
Journey Into Medicine,38 min,6.1,32,,,,,,,,,,
Passport to Nowhere,19 min,6.2,10,,,,,,,,,,
Design for Death,48 min,6.3,41,,,,,,,,,,
The Treasure of the Sierra Madre,126 min,8.2,122635,306,103,98,9,1,0,8.5,99,9,2
"Goodbye, Miss Turlock",11 min,6.6,213,8,,,,,,,,,
The Search,104 min,7.8,4330,74,22,,,,,,,,
Samba-Mania,18 min,7.8,4330,,,,,,,,,,
The Naked City,96 min,7.6,13484,,,,,,,,,,
I Remember Mama,134 min,7.9,5404,80,19,,,,,,,,
Sitting Pretty,83 min,7.5,2372,37,12,,,,,,,,
B.F.'s Daughter,108 min,6.2,746,22,4,,,,,,,,
Going to Blazes!,21 min,6.5,114,10,,,,,,,,,
Casbah,94 min,6.0,493,16,10,,,,,,,,
The Emperor Waltz,106 min,6.1,1700,25,13,,,,,,,,
Hamlet,154 min,7.6,16737,100,55,82,7,3,0,tbd,3,0,0
The Pirate,102 min,6.9,4895,71,48,,,,,,,,
Calgary Stampede,18 min,5.8,163,6,,,,,,,,,
You Can't Win,8 min,5.7,182,5,,,,,,,,,
Green Grass of Wyoming,89 min,6.0,410,12,3,,,,,,,,
Romance on the High Seas,99 min,7.0,2280,,,,,,,,,,
Easter Parade,103 min,7.4,9673,92,54,,,,,,,,
A Foreign Affair,116 min,7.3,7553,67,52,75,6,1,0,tbd,0,1,0
Key Largo,100 min,7.8,40190,197,71,,,,,,,,
Deep Waters,85 min,6.6,284,12,4,,,,,,,,
The Red Shoes,135 min,8.1,34258,193,119,,,,,,,,
The Secret Land,71 min,6.9,327,9,2,,,,,,,,
Wet Blanket Policy,6 min,6.6,203,4,,,,,,,,,
The Loves of Carmen,99 min,6.1,1200,26,4,,,,,,,,
That Lady in Ermine,89 min,5.8,773,21,10,,,,,,,,
Red River,133 min,7.8,30755,213,86,,,,,,,,
The Fallen Idol,95 min,7.7,8642,79,66,88,11,1,0,6.8,6,2,2
Louisiana Story,78 min,6.6,1876,18,20,,,,,,,,
"Sorry, Wrong Number",89 min,7.3,11130,118,61,,,,,,,,
The Luck of the Irish,99 min,6.7,970,27,5,,,,,,,,
Saraband,96 min,6.6,463,19,2,,,,,,,,
Moonrise,90 min,7.1,2595,53,41,,,,,,,,
Johnny Belinda,102 min,7.8,4801,73,24,,,,,,,,
Van Gogh,20 min,6.7,438,4,,,,,,,,,
The Three Musketeers,125 min,7.1,6178,54,28,,,,,,,,
The Snake Pit,108 min,7.6,7592,80,44,,,,,,,,
So You Want to Be on the Radio,10 min,6.5,188,9,,,,,,,,,
When My Baby Smiles at Me,98 min,5.9,169,9,3,,,,,,,,
Joan of Arc,145 min,6.4,3284,40,18,,,,,,,,
Bicycle Thieves,89 min,8.3,160135,340,139,,,,,,,,
So Dear to My Heart,79 min,6.8,1467,22,6,,,,,,,,
Adventures of Don Juan,110 min,7.0,3083,64,11,,,,,,,,
Mickey and the Seal,7 min,6.9,1101,11,3,,,,,,,,
The Paleface,91 min,6.7,4131,46,30,,,,,,,,
Seal Island,27 min,7.4,137,3,4,,,,,,,,
Robin Hoodlum,7 min,6.2,171,3,,,,,,,,,
Tea for Two Hundred,6 min,7.3,751,4,,,,,,,,,
Portrait of Jennie,86 min,7.7,6823,133,51,,,,,,,,
Cinderella Horse,10 min,7.7,6823,,,,,,,,,,
Operation Vittles,15 min,5.6,34,3,,,,,,,,,
The Quiet One,65 min,6.5,274,2,3,,,,,,,,
Snow Capers,19 min,6.5,274,,,,,,,,,,
Toward Independence,30 min,6.2,42,,,,,,,,,,
The Little Orphan,8 min,7.8,1740,14,3,,,,,,,,
Mouse Wreckers,7 min,7.5,743,13,2,,,,,,,,
So Much for So Little,10 min,6.2,410,10,,,,,,,,,
A Letter to Three Wives,103 min,7.7,9628,89,58,,,,,,,,
Annie Was a Wonder,11 min,6.3,219,11,,,,,,,,,
"Edward, My Son",112 min,6.5,1317,25,12,,,,,,,,
Little Women,122 min,7.2,7416,75,13,61,3,2,0,tbd,0,2,1
Mother Is a Freshman,81 min,6.3,409,9,4,,,,,,,,
The Magic Fluke,7 min,6.5,149,2,2,,,,,,,,
Champion,99 min,7.4,4200,61,40,,,,,,,,
Tulsa,90 min,6.2,1196,37,8,,,,,,,,
Heart to Heart,21 min,5.4,92,3,,,,,,,,,
The Stratton Story,106 min,7.1,3044,32,21,,,,,,,,
Passport to Pimlico,84 min,7.1,4656,47,43,,,,,,,,
The Barkleys of Broadway,109 min,7.0,3138,46,32,,,,,,,,
The Window,73 min,7.4,3889,74,31,,,,,,,,
It Happens Every Spring,87 min,6.9,1671,36,15,,,,,,,,
Hatch Up Your Troubles,8 min,7.5,1188,10,2,,,,,,,,
Neptune's Daughter,95 min,6.4,1531,26,22,,,,,,,,
Look for the Silver Lining,106 min,6.4,402,16,2,,,,,,,,
Boy and the Eagle,18 min,6.5,14,,,,,,,,,,
Roller Derby Girl,10 min,5.7,36,,,,,,,,,,
She Wore a Yellow Ribbon,104 min,7.2,17438,120,65,,,,,,,,
Come to the Stable,94 min,7.2,1350,24,13,,,,,,,,
Mighty Joe Young,94 min,7.0,5210,84,45,61,2,2,0,tbd,3,0,0
It's a Great Feeling,85 min,6.4,1742,37,11,,,,,,,,
Sand,78 min,5.7,96,4,3,,,,,,,,
Jolson Sings Again,96 min,6.6,659,16,6,,,,,,,,
Spills and Chills,10 min,7.0,31,4,,,,,,,,,
Daybreak in Udi,47 min,5.3,65,,,,,,,,,,
Madame Bovary,114 min,7.0,2621,40,18,,,,,,,,
White Heat,114 min,8.1,32316,203,86,,,,,,,,
The Third Man,93 min,8.1,168939,506,210,97,29,1,0,8.5,84,4,2
Bitter Rice,108 min,7.6,4184,24,29,,,,,,,,
"Once More, My Darling",92 min,6.8,214,15,3,,,,,,,,
The Hasty Heart,102 min,7.3,1366,30,7,,,,,,,,
The Red Danube,119 min,6.4,622,23,12,,,,,,,,
Pinky,102 min,7.2,3101,55,22,,,,,,,,
The Heiress,115 min,8.1,15621,163,65,,,,,,,,
Beyond the Forest,97 min,6.9,2518,38,21,,,,,,,,
That Forsyte Woman,113 min,6.7,1320,40,7,,,,,,,,
Water Trix,9 min,6.1,127,4,,,,,,,,,
All the King's Men,110 min,7.4,14814,90,60,,,,,,,,
Prince of Foxes,107 min,6.9,1719,45,13,,,,,,,,
Battleground,118 min,7.4,7152,93,29,,,,,,,,
For Scent-imental Reasons,7 min,7.2,1774,20,3,,,,,,,,
Adam's Rib,101 min,7.5,21038,124,46,87,10,0,0,8.0,5,0,0
A Chance to Live,18 min,5.7,44,,,,,,,,,,
On the Town,98 min,7.4,17329,123,57,71,7,1,0,7.5,4,0,0
Sands of Iwo Jima,100 min,7.0,10367,87,44,75,7,1,0,tbd,0,0,0
Toy Tinkers,7 min,7.5,1317,10,,,,,,,,,
Snow Carnival,20 min,6.5,25,,,,,,,,,,
Samson and Delilah,134 min,6.8,7863,79,28,,,,,,,,
Twelve O'Clock High,132 min,7.7,14511,156,47,,,,,,,,
"Captain Carey, U.S.A.",82 min,6.1,504,7,9,,,,,,,,
My Foolish Heart,98 min,6.9,1044,34,11,,,,,,,,
Chase of Death,98 min,6.9,1044,,,,,,,,,,
Kenji Comes Home,30 min,6.9,1044,,,,,,,,,,
The Rising Tide,30 min,6.2,32,,,,,,,,,,
The Grass Is Always Greener,17 min,6.5,61,3,,,,,,,,,
Kon-Tiki,77 min,7.9,2543,12,6,,,,,,,,
The Titan: Story of Michelangelo,70 min,7.0,89,,,,,,,,,,
Cinderella,74 min,7.3,156490,179,126,85,14,1,0,7.6,43,9,2
When Willie Comes Marching Home,82 min,6.5,746,15,4,,,,,,,,
Singing Guns,91 min,6.2,366,13,2,,,,,,,,
Eighteen Forty-Eight,20 min,4.2,17,,,,,,,,,,
Aquatic House Party,9 min,5.4,43,,,,,,,,,,
Wabash Avenue,92 min,6.0,313,9,4,,,,,,,,
So You Think You're Not Guilty,10 min,6.0,405,11,,,,,,,,,
No Sad Songs for Me,88 min,6.7,448,16,3,,,,,,,,
Bridge of Time,17 min,6.7,448,,,,,,,,,,
Annie Get Your Gun,107 min,6.9,4829,101,26,77,5,0,0,7.0,4,0,1
The Asphalt Jungle,112 min,7.8,26406,160,88,85,14,1,0,tbd,0,0,0
Father of the Bride,92 min,7.2,11171,69,45,76,6,3,0,tbd,1,2,0
Caged,96 min,7.7,3907,83,33,,,,,,,,
The Gunfighter,85 min,7.7,10924,96,61,94,8,0,0,7.4,8,1,0
Louisa,90 min,6.8,467,16,2,,,,,,,,
With These Hands,52 min,5.7,63,2,,,,,,,,,
Mystery Street,93 min,7.2,3093,67,23,,,,,,,,
Destination Moon,92 min,6.3,4071,96,42,,,,,,,,
Panic in the Streets,96 min,7.2,7930,96,57,,,,,,,,
The Flame and the Arrow,88 min,6.8,3822,42,25,,,,,,,,
Three Little Words,102 min,6.9,1824,36,12,,,,,,,,
Beaver Valley,32 min,7.2,276,5,5,,,,,,,,
Broken Arrow,93 min,7.2,8594,84,45,,,,,,,,
The Men,85 min,7.1,4631,61,28,,,,,,,,
The Furies,109 min,7.3,3342,40,41,,,,,,,,
Our Very Own,93 min,6.7,614,33,4,,,,,,,,
Trio,91 min,7.1,827,16,5,,,,,,,,
Sunset Blvd.,110 min,8.4,216743,676,193,,,,,,,,
No Way Out,106 min,7.4,5474,72,41,,,,,,,,
The Toast of New Orleans,97 min,6.1,660,22,5,,,,,,,,
Rashomon,88 min,8.2,164825,383,134,98,18,0,0,8.6,52,6,0
La Ronde,93 min,7.5,5364,38,55,,,,,,,,
The Black Rose,120 min,6.2,2144,50,7,,,,,,,,
Grandad of Races,9 min,5.8,133,4,,,,,,,,,
Wrong Way Butch,10 min,6.3,153,6,,,,,,,,,
Seven Days to Noon,94 min,7.0,1798,38,26,,,,,,,,
Trouble Indemnity,7 min,6.4,125,,,,,,,,,,
Mister 880,90 min,7.0,1585,30,9,,,,,,,,
I'll Get By,83 min,5.9,180,5,,,,,,,,,
Canary Row,7 min,7.2,1160,13,2,,,,,,,,
All About Eve,138 min,8.3,129124,409,153,98,15,0,0,8.8,95,4,2
Grandma Moses,21 min,6.5,36,2,,,,,,,,,
The Mudlark,99 min,7.0,853,21,5,,,,,,,,
Gerald McBoing-Boing,8 min,7.1,1932,16,2,,,,,,,,
King Solomon's Mines,103 min,6.8,6157,83,34,,,,,,,,
Cyrano de Bergerac,113 min,7.4,4069,56,27,,,,,,,,
The West Point Story,107 min,6.2,1336,33,8,,,,,,,,
Harvey,104 min,7.9,55135,256,80,,,,,,,,
The Magnificent Yankee,89 min,6.8,600,16,5,,,,,,,,
Born Yesterday,103 min,7.5,11144,99,57,,,,,,,,
My Country 'Tis of Thee,19 min,5.2,145,11,,,,,,,,,
Blaze Busters,10 min,6.4,28,,,,,,,,,,
The Fight: Science Against Cancer,21 min,6.1,36,,,,,,,,,,
Steps of Age,25 min,5.5,32,,,,,,,,,,
The Mating Season,101 min,7.4,1744,34,11,,,,,,,,
Why Korea?,30 min,5.2,33,,,,,,,,,,
Fourteen Hours,92 min,7.1,2611,48,25,,,,,,,,
Royal Wedding,93 min,6.7,5398,56,35,,,,,,,,
The Tales of Hoffmann,128 min,7.1,3330,50,53,,,,,,,,
A Place in the Sun,122 min,7.8,22290,185,81,76,8,3,0,8.0,9,0,0
Teresa,102 min,6.4,673,19,8,,,,,,,,
Jerry's Cousin,7 min,7.8,1366,9,2,,,,,,,,
Bullfighter and the Lady,87 min,6.8,576,10,15,,,,,,,,
Bright Victory,97 min,7.3,850,31,4,,,,,,,,
I Was a Communist for the F.B.I.,83 min,6.1,795,27,11,,,,,,,,
Go for Broke!,92 min,6.7,1458,34,13,,,,,,,,
The Great Caruso,109 min,6.5,1337,29,10,,,,,,,,
The House on Telegraph Hill,93 min,6.9,3002,48,21,,,,,,,,
On the Riviera,89 min,6.3,1046,19,21,,,,,,,,
The Frogmen,96 min,6.5,1289,25,10,,,,,,,,
Ace in the Hole,111 min,8.1,35217,204,124,72,4,2,0,7.6,17,1,2
Kind Lady,78 min,7.0,947,29,9,,,,,,,,
World of Kids,10 min,4.9,23,,,,,,,,,,
Rooty Toot Toot,7 min,6.8,874,10,,,,,,,,,
Strangers on a Train,101 min,7.9,131890,365,126,88,14,1,0,8.7,55,5,0
The Lavender Hill Mob,78 min,7.5,14186,73,58,,,,,,,,
"Rich, Young and Pretty",95 min,5.8,451,19,3,,,,,,,,
Show Boat,108 min,6.9,4937,64,22,,,,,,,,
Alice in Wonderland,75 min,7.4,138336,203,100,68,8,2,0,7.8,40,12,1
Nature's Half Acre,33 min,7.1,205,6,3,,,,,,,,
David and Bathsheba,116 min,6.1,2345,33,13,,,,,,,,
The Man in the White Suit,85 min,7.3,9758,86,49,,,,,,,,
An American in Paris,114 min,7.2,33265,185,102,83,14,3,1,6.8,10,1,1
The Strip,85 min,6.0,628,24,7,,,,,,,,
The Medium,84 min,6.3,165,3,2,,,,,,,,
A Streetcar Named Desire,122 min,8.0,106395,312,93,97,19,1,0,8.4,55,4,1
When Worlds Collide,83 min,6.6,7901,131,55,,,,,,,,
Here Comes the Groom,113 min,6.3,1092,26,10,,,,,,,,
The Well,86 min,7.2,795,27,20,,,,,,,,
Detective Story,103 min,7.5,8320,87,41,78,12,1,0,tbd,0,1,0
Come Fill the Cup,113 min,6.9,481,14,9,,,,,,,,
The Blue Veil,113 min,7.3,404,20,6,,,,,,,,
Golden Girl,108 min,5.9,271,15,,,,,,,,,
Ridin' the Rails,10 min,5.4,18,,,,,,,,,,
Quo Vadis,171 min,7.2,14923,128,57,,,,,,,,
Two Tickets to Broadway,106 min,5.6,530,21,4,,,,,,,,
Too Young to Kiss,91 min,6.1,537,18,2,,,,,,,,
The Model and the Marriage Broker,103 min,7.1,717,17,4,,,,,,,,
Death of a Salesman,115 min,7.3,1035,19,10,,,,,,,,
Decision Before Dawn,119 min,7.2,2675,57,25,,,,,,,,
I Want You,102 min,6.6,520,14,12,,,,,,,,
The African Queen,105 min,7.7,77620,,,,,,,,,,
Balzac,24 min,MISSING,MISSING,,,,,,,,,,
Benjy,31 min,7.0,36,,,,,,,,,,
Danger Under the Sea,31 min,6.0,13,,,,,,,,,,
One Who Came Back,21 min,7.1,81,3,,,,,,,,,
The Seeing Eye,20 min,7.1,81,,,,,,,,,,
The Story of Time,10 min,6.6,75,4,,,,,,,,,
Man Alive!,12 min,5.6,48,,,,,,,,,,
Neighbours,8 min,7.9,3485,16,6,,,,,,,,
The Greatest Show on Earth,152 min,6.6,14390,145,63,,,,,,,,
Umberto D.,89 min,8.2,25398,113,81,92,8,1,0,8.0,24,4,1
Viva Zapata!,113 min,7.3,11282,61,39,,,,,,,,
Lambert the Sheepish Lion,8 min,7.6,2315,18,3,,,,,,,,
Navajo,70 min,5.9,132,3,,,,,,,,,
Le Plaisir,97 min,7.6,4732,26,45,,,,,,,,
5 Fingers,108 min,7.7,4884,59,36,,,,,,,,
The Promoter,85 min,7.1,1534,39,11,,,,,,,,
The Sniper,88 min,7.1,3302,53,45,,,,,,,,
The Two Mouseketeers,8 min,7.5,1576,10,2,,,,,,,,
Singin' in the Rain,103 min,8.3,235908,764,164,99,17,0,0,8.7,178,14,5
With a Song in My Heart,117 min,6.8,1355,55,9,,,,,,,,
My Son John,122 min,5.6,630,39,16,,,,,,,,
The Narrow Margin,71 min,7.7,7713,109,58,,,,,,,,
The Atomic City,85 min,6.2,462,15,14,,,,,,,,
High Noon,85 min,8.0,102855,429,149,89,7,0,0,8.4,70,5,1
The Pride of St. Louis,93 min,6.5,715,14,9,,,,,,,,
Forbidden Games,86 min,8.0,12068,77,56,,,,,,,,
Pat and Mike,95 min,6.9,5636,64,21,79,7,2,0,tbd,0,1,0
The Quiet Man,129 min,7.7,38121,292,105,85,16,1,0,tbd,1,2,0
Ivanhoe,106 min,6.8,9124,78,39,,,,,,,,
Water Birds,30 min,6.7,240,7,3,,,,,,,,
Carrie,118 min,7.3,2390,42,25,,,,,,,,
Son of Paleface,95 min,6.8,2283,31,18,,,,,,,,
The Sound Barrier,109 min,6.8,2001,33,30,,,,,,,,
Affair in Trinidad,98 min,6.6,2555,56,27,,,,,,,,
Athletes of the Saddle,10 min,6.6,2555,,,,,,,,,,
The Big Sky,140 min,6.9,4270,60,24,,,,,,,,
Sudden Fear,110 min,7.5,6201,110,40,,,,,,,,
Pink and Blue Blues,5 min,6.1,112,,,,,,,,,,
The Miracle of Our Lady of Fatima,102 min,6.8,1177,23,10,,,,,,,,
The Merry Widow,105 min,5.7,620,14,5,,,,,,,,
The Thief,86 min,6.7,1033,34,14,,,,,,,,
The Snows of Kilimanjaro,114 min,6.1,5222,69,11,62,4,3,0,tbd,0,0,0
Because You're Mine,103 min,6.0,376,18,4,,,,,,,,
Just for You,104 min,6.0,367,8,7,,,,,,,,
Light in the Window,10 min,5.3,19,,,,,,,,,,
This Is Cinerama,115 min,7.0,501,21,17,,,,,,,,
The Four Poster,103 min,6.3,199,13,,,,,,,,,
Limelight,137 min,8.0,19995,123,59,,,,,,,,
Flat Top,83 min,5.9,496,11,8,,,,,,,,
Joy of Living,10 min,5.9,496,,,,,,,,,,
The Pickwick Papers,109 min,6.9,544,20,3,,,,,,,,
Plymouth Adventure,105 min,6.2,1411,23,11,,,,,,,,
Hans Christian Andersen,112 min,6.8,3822,32,18,,,,,,,,
Madeline,7 min,6.7,190,3,,,,,,,,,
Million Dollar Mermaid,115 min,6.6,1578,21,20,50,0,5,0,tbd,0,0,0
The Hoaxters,36 min,5.6,173,11,,,,,,,,,
The Star,89 min,7.0,3699,57,17,,,,,,,,
"Come Back, Little Sheba",99 min,7.5,4879,67,15,,,,,,,,
Moulin Rouge,119 min,7.0,5509,66,30,,,,,,,,
The Bad and the Beautiful,118 min,7.8,14723,130,88,,,,,,,,
The Member of the Wedding,93 min,6.8,1429,32,11,,,,,,,,
My Cousin Rachel,98 min,7.1,2860,51,22,,,,,,,,
The Jazz Singer,107 min,5.7,374,13,3,,,,,,,,
Above and Beyond,122 min,6.9,1253,34,7,,,,,,,,
Desert Killer,10 min,5.2,108,6,,,,,,,,,
Epeira Diadema,10 min,5.2,108,,,,,,,,,,
The Romance of Transportation in Canada,12 min,6.4,135,3,,,,,,,,,
Royal Scotland,10 min,6.2,26,,,,,,,,,,
Thar She Blows!,20 min,6.2,26,,,,,,,,,,
The Mississippi Gambler,99 min,6.7,722,13,11,,,,,,,,
The Naked Spur,91 min,7.3,11143,103,51,,,,,,,,
Bear Country,33 min,8.0,142,6,4,,,,,,,,
The Alaskan Eskimo,27 min,6.9,83,,,,,,,,,,
Monsieur Hulot's Holiday,83 min,7.4,18305,102,101,,,,,,,,
Call Me Madam,114 min,6.8,1331,53,13,,,,,,,,
The Story of Three Loves,122 min,6.8,1321,23,14,,,,,,,,
Lili,81 min,7.3,3616,62,19,,,,,,,,
Johann Mouse,8 min,7.4,1485,10,3,,,,,,,,
The Cruel Sea,126 min,7.4,4700,71,27,,,,,,,,
Ugetsu,96 min,8.2,23061,100,97,,,,,,,,
Indiscretion of an American Wife,63 min,6.2,2826,45,22,,,,,,,,
The War of the Worlds,85 min,7.0,35093,282,84,78,8,0,0,7.1,11,7,0
Small Town Girl,92 min,6.3,777,36,4,,,,,,,,
Titanic,98 min,7.0,6916,105,23,,,,,,,,
Little Johnny Jet,7 min,6.9,490,8,2,,,,,,,,
Genevieve,86 min,7.1,3098,59,19,,,,,,,,
Shane,118 min,7.6,40053,329,86,80,8,3,0,8.0,9,2,0
The Desert Rats,88 min,6.7,4937,39,9,,,,,,,,
Julius Caesar,120 min,7.3,11433,89,35,,,,,,,,
Martin Luther,105 min,6.8,565,59,4,,,,,,,,
The President's Lady,96 min,6.8,857,25,4,,,,,,,,
Young Bess,112 min,6.6,1585,26,3,,,,,,,,
Pickup on South Street,80 min,7.7,14494,123,101,,,,,,,,
Dream Wife,100 min,5.9,1976,22,9,,,,,,,,
Stalag 17,120 min,8.0,55200,172,98,84,13,2,0,7.8,9,1,0
A Queen Is Crowned,82 min,7.0,115,4,2,,,,,,,,
The Moon Is Blue,99 min,6.7,2305,31,19,,,,,,,,
The Captain's Paradise,94 min,6.9,1676,39,28,,,,,,,,
"The 5, 000 Fingers of Dr. T.",89 min,6.7,4108,115,49,,,,,,,,
Christopher Crumpet,6 min,6.8,176,5,,,,,,,,,
The Sea Around Us,62 min,6.1,310,13,7,,,,,,,,
The Band Wagon,112 min,7.5,11240,121,62,93,17,0,0,tbd,0,1,0
From Here to Eternity,118 min,7.6,46353,196,124,85,19,1,1,7.8,29,2,4
The Caddy,95 min,6.4,2137,23,3,,,,,,,,
Roman Holiday,118 min,8.0,136181,327,133,78,7,1,0,8.4,88,8,4
I Vitelloni,104 min,7.9,18149,70,67,87,10,0,0,7.6,17,3,2
Little Fugitive,75 min,7.5,2775,35,45,91,4,0,0,8.8,4,0,0
The Proud and the Beautiful,103 min,7.2,837,12,12,,,,,,,,
The Earrings of Madame De...,105 min,7.9,9820,56,96,,,,,,,,
The Robe,135 min,6.7,10237,93,48,,,,,,,,
Take the High Ground!,101 min,6.0,977,21,6,,,,,,,,
Mogambo,116 min,6.6,8185,85,42,,,,,,,,
The Actress,90 min,6.5,1321,31,11,,,,,,,,
Torch Song,90 min,5.6,1375,52,12,,,,,,,,
The Tell-Tale Heart,8 min,7.5,1995,25,8,,,,,,,,
Herring Hunt,11 min,5.7,35,,,,,,,,,,
Rugged Bear,6 min,7.5,575,4,,,,,,,,,
Calamity Jane,101 min,7.2,9822,96,29,,,,,,,,
Gate of Hell,89 min,7.2,3700,31,47,,,,,,,,
The Conquest of Everest,78 min,7.2,580,11,2,,,,,,,,
How to Marry a Millionaire,95 min,6.8,22134,117,45,,,,,,,,
Kiss Me Kate,109 min,7.1,6258,88,39,,,,,,,,
Ben and Me,21 min,7.5,927,11,4,,,,,,,,
The Living Desert,69 min,7.4,1501,21,8,69,4,0,0,tbd,0,0,0
"Toot, Whistle, Plunk and Boom",10 min,7.1,1448,11,3,,,,,,,,
All the Brothers Were Valiant,95 min,6.2,977,17,5,,,,,,,,
Crazylegs,87 min,5.7,103,,,,,,,,,,
Hondo,83 min,7.0,10831,106,60,79,7,0,0,tbd,0,0,0
Beneath the 12-Mile Reef,102 min,5.7,1390,35,22,,,,,,,,
Vesuvius Express,16 min,5.7,1390,2,,,,,,,,,
Knights of the Round Table,115 min,6.2,3644,51,24,,,,,,,,
Overture to the Merry Wives of Windsor,9 min,6.2,144,8,,,,,,,,,
"Bread, Love and Dreams",90 min,6.9,1724,6,9,,,,,,,,
Miss Sadie Thompson,91 min,5.9,1550,33,24,,,,,,,,
Return to Glennascaul,23 min,6.9,733,27,8,,,,,,,,
Christ Among the Primitives,10 min,6.9,733,,,,,,,,,,
The Living City,25 min,5.9,28,,,,,,,,,,
Operation Blue Jay,28 min,6.6,25,,,,,,,,,,
They Planted a Stone,26 min,6.6,23,,,,,,,,,,
Wee Water Wonders,10 min,6.6,23,,,,,,,,,,
Winter Paradise,20 min,6.6,23,,,,,,,,,,
The Word,20 min,6.6,23,,,,,,,,,,
From A to Z-Z-Z-Z,7 min,7.7,543,11,,,,,,,,,
The Glenn Miller Story,115 min,7.3,8713,67,28,,,,,,,,
It Should Happen to You,86 min,7.2,3888,54,21,,,,,,,,
Hell and High Water,103 min,6.2,1904,32,30,,,,,,,,
Red Garters,91 min,5.9,407,19,4,,,,,,,,
Executive Suite,104 min,7.4,4051,72,25,,,,,,,,
A Time Out of War,20 min,6.6,201,3,,,,,,,,,
Night People,93 min,6.5,1189,25,14,,,,,,,,
Knock on Wood,103 min,6.7,1041,15,16,,,,,,,,
Seven Samurai,207 min,8.7,337753,797,128,98,7,0,0,8.8,375,16,21
The First Piano Quartette,10 min,6.1,23,,,,,,,,,,
Three Coins in the Fountain,102 min,6.3,3378,54,20,,,,,,,,
Pigs Is Pigs,10 min,7.0,410,6,,,,,,,,,
The High and the Mighty,147 min,6.7,5902,187,40,,,,,,,,
Thursday's Children,21 min,7.4,342,6,2,,,,,,,,
Strauss Fantasy,10 min,6.9,103,2,,,,,,,,,
Them!,94 min,7.2,21702,260,106,,,,,,,,
The Unconquered,55 min,7.9,108,2,,,,,,,,,
On the Waterfront,108 min,8.1,152134,376,165,91,15,0,0,8.7,175,15,7
The Caine Mutiny,124 min,7.7,27290,199,48,63,6,2,0,7.6,3,2,0
"20,000 Leagues Under the Sea",127 min,7.2,33218,159,80,83,6,0,0,7.9,12,0,0
Robinson Crusoe,90 min,6.7,4013,42,29,,,,,,,,
Magnificent Obsession,108 min,7.0,6720,89,58,,,,,,,,
The Sheep Has Five Legs,104 min,6.7,614,6,9,,,,,,,,
Susan Slept Here,98 min,6.5,1866,44,18,,,,,,,,
Seven Brides for Seven Brothers,102 min,7.3,24654,180,69,75,6,1,0,8.2,8,1,0
Broken Lance,96 min,6.9,3781,52,27,,,,,,,,
Rear Window,112 min,8.5,478760,,,,,,,,,,
The Stratford Adventure,45 min,6.6,51,,,,,,,,,,
The Vanishing Prairie,71 min,7.4,618,9,6,,,,,,,,
The Egyptian,139 min,6.5,4000,88,23,,,,,,,,
This Mechanical Age,10 min,6.7,47,,,,,,,,,,
Jet Carrier,17 min,5.2,11,,,,,,,,,,
Sabrina,113 min,7.6,63830,213,101,72,5,1,0,7.8,46,7,1
The Road,108 min,8.0,62325,167,112,,,,,,,,
Brigadoon,108 min,6.8,8342,121,46,,,,,,,,
Rogue Cop,92 min,6.6,917,20,9,,,,,,,,
The Barefoot Contessa,128 min,7.0,11081,111,49,,,,,,,,
A Star Is Born,154 min,7.5,17768,179,84,89,8,1,0,8.2,21,7,0
Carmen Jones,105 min,6.7,5173,64,43,65,5,5,0,tbd,0,0,0
White Christmas,120 min,7.6,42329,243,82,56,7,10,0,7.7,10,1,1
The Magical World of Disney,120 min,8.5,1981,14,8,,,,,,,,
Désirée,110 min,6.4,2982,33,16,,,,,,,,
The Country Girl,104 min,7.3,5957,70,32,,,,,,,,
There's No Business Like Show Business,117 min,6.4,5958,70,21,,,,,,,,
The Silver Chalice,142 min,4.6,1584,51,18,,,,,,,,
"Touché, Pussy Cat!",7 min,7.4,857,10,2,,,,,,,,
Beauty and the Bull,17 min,5.3,114,6,,,,,,,,,
Siam,32 min,5.9,42,,,,,,,,,,
The Bridges at Toko-Ri,102 min,6.7,5746,70,22,,,,,,,,
Rembrandt: A Self-Portrait,26 min,6.9,18,,,,,,,,,,
When Magoo Flew,6 min,6.3,409,5,5,,,,,,,,
Crazy Mixed Up Pup,6 min,7.3,269,6,,,,,,,,,
Sandy Claws,7 min,6.9,408,6,3,,,,,,,,
Bad Day at Black Rock,81 min,7.7,21431,181,73,,,,,,,,
No Hunting,6 min,7.0,412,5,,,,,,,,,
Switzerland,33 min,7.3,35,,,,,,,,,,
