title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score
Stout Hearts and Willing Hands,20 min,6.9,26,,,,,,,,,,
Bad Girl,90 min,6.5,1338,23,16,,,,,,,,
Transatlantic,78 min,6.5,203,9,5,,,,,,,,
The Star Witness,68 min,6.3,663,25,7,,,,,,,,
Five Star Final,89 min,7.3,2091,53,29,,,,,,,,
The Sin of Madelon Claudet,75 min,6.6,925,26,9,,,,,,,,
Scratch-As-Catch-Can,19 min,6.4,15,,,,,,,,,,
The Guardsman,82 min,6.5,540,18,6,,,,,,,,
Wrestling Swordfish,8 min,5.6,29,,,,,,,,,,
The Champ,86 min,7.3,3147,36,24,,,,,,,,
Arrowsmith,108 min,6.2,1731,41,25,,,,,,,,
Mickey's Orphans,7 min,6.4,805,8,3,,,,,,,,
À Nous la Liberté,97 min,7.5,4462,41,45,,,,,,,,
Dr. Jekyll and Mr. Hyde,98 min,7.6,13669,140,76,,,,,,,,
Emma,72 min,7.0,990,31,3,,,,,,,,
Shanghai Express,82 min,7.3,8666,73,56,83,15,0,0,tbd,1,0,0
One Hour with You,78 min,7.1,2515,35,30,,,,,,,,
Grand Hotel,112 min,7.3,19077,144,89,,,,,,,,
The Music Box,29 min,8.0,7341,79,11,,,,,,,,
It's Got Me Again!,7 min,5.8,540,10,,,,,,,,,
The Loud Mouth,20 min,6.7,20,,,,,,,,,,
What Price Hollywood?,88 min,7.1,2317,37,30,,,,,,,,
Lady and Gent,84 min,6.0,188,6,2,,,,,,,,
Flowers and Trees,8 min,7.3,3057,19,8,,,,,,,,
Smilin' Through,98 min,6.9,1340,25,9,,,,,,,,
One Way Passage,67 min,7.5,3775,61,22,,,,,,,,
I Am a Fugitive from a Chain Gang,92 min,8.2,13082,448,49,,,,,,,,
Swing High,10 min,6.6,158,6,,,,,,,,,
The Sign of the Cross,125 min,6.8,2310,64,36,,,,,,,,
A Farewell to Arms,80 min,6.4,5935,75,46,,,,,,,,
Rasputin and the Empress,121 min,6.6,1049,34,16,,,,,,,,
Screen Souvenirs,121 min,7.3,14,,,,,,,,,,
Cavalcade,112 min,5.9,5168,53,50,,,,,,,,
Building a Building,7 min,7.1,790,8,,,,,,,,,
State Fair,99 min,6.7,859,17,10,,,,,,,,
She Done Him Wrong,66 min,6.3,6088,75,47,,,,,,,,
42nd Street,89 min,7.4,11756,129,71,83,8,1,0,tbd,1,0,0
Krakatoa,23 min,6.8,35,,,,,,,,,,
Reunion in Vienna,98 min,6.3,323,7,3,,,,,,,,
The Sea,9 min,6.3,323,,,,,,,,,,
Mister Mugg,20 min,7.4,12,,,,,,,,,,
Gold Diggers of 1933,97 min,7.7,8078,89,38,,,,,,,,
Three Little Pigs,9 min,7.5,5847,32,12,,,,,,,,
When Ladies Meet,85 min,6.8,968,23,9,,,,,,,,
So This Is Harris,28 min,6.1,111,2,,,,,,,,,
Morning Glory,74 min,6.4,2978,51,19,,,,,,,,
The Private Life of Henry VIII,97 min,7.0,4286,52,33,,,,,,,,
Lady for a Day,96 min,7.4,4158,46,26,,,,,,,,
Berkeley Square,88 min,6.5,826,28,9,,,,,,,,
Menu,10 min,6.3,277,13,,,,,,,,,
A Preferred List,20 min,8.0,16,,,,,,,,,,
The Prizefighter and the Lady,102 min,6.3,881,36,11,,,,,,,,
Eskimo,117 min,7.0,514,17,10,,,,,,,,
Little Women,115 min,7.2,7001,65,32,92,7,0,0,5.3,4,0,3
The Merry Old Soul,8 min,5.9,241,3,,,,,,,,,
Flying Down to Rio,89 min,6.6,3676,72,27,72,9,2,0,tbd,0,0,0
City of Wax,9 min,6.5,58,,,,,,,,,,
The Lost Patrol,73 min,6.8,3295,53,35,,,,,,,,
It Happened One Night,105 min,8.1,101790,334,127,87,16,0,0,8.3,47,3,0
The House of Rothschild,88 min,6.6,1159,33,14,,,,,,,,
Viva Villa!,115 min,6.4,1361,24,17,,,,,,,,
Bosom Friends,10 min,6.4,1361,,,,,,,,,,
Manhattan Melodrama,93 min,7.2,4147,52,25,,,,,,,,
The Thin Man,91 min,7.9,29128,167,82,86,16,0,0,7.7,6,0,1
Wings Over Everest,22 min,6.2,105,5,,,,,,,,,
Operator 13,85 min,6.1,1423,25,5,,,,,,,,
Of Human Bondage,83 min,7.0,7299,107,42,,,,,,,,
Here Comes the Navy,87 min,6.3,984,25,13,,,,,,,,
Hide-Out,81 min,6.9,810,27,9,,,,,,,,
The Affairs of Cellini,79 min,6.0,408,12,8,,,,,,,,
La Cucaracha,20 min,5.7,317,10,4,,,,,,,,
She Loves Me Not,85 min,6.0,170,7,2,,,,,,,,
One Night of Love,84 min,5.7,600,14,10,,,,,,,,
The Barretts of Wimpole Street,109 min,7.0,1887,34,10,,,,,,,,
The Richest Girl in the World,76 min,6.3,891,21,12,,,,,,,,
Men in Black,19 min,7.7,1328,28,3,,,,,,,,
Jolly Little Elves,9 min,6.0,197,,,,,,,,,,
Cleopatra,100 min,6.8,3874,61,36,,,,,,,,
The Gay Divorcee,107 min,7.4,7783,73,45,80,11,1,0,tbd,1,1,0
The Merry Widow,99 min,7.2,2911,34,19,,,,,,,,
Strikes and Spares,9 min,6.3,238,6,,,,,,,,,
Imitation of Life,111 min,7.5,4700,108,33,72,7,0,0,tbd,1,1,0
Holiday Land,8 min,5.8,151,2,,,,,,,,,
The White Parade,80 min,6.8,90,4,5,,,,,,,,
Flirtation Walk,97 min,5.6,718,12,9,,,,,,,,
The Private Life of the Gannets,10 min,6.2,86,,,,,,,,,,
"What, No Men?",21 min,6.1,60,3,2,,,,,,,,
Tit for Tat,19 min,7.6,2260,26,9,,,,,,,,
The Tortoise and the Hare,9 min,7.2,3014,18,11,,,,,,,,
The Lives of a Bengal Lancer,109 min,7.1,2902,36,21,,,,,,,,
David Copperfield,130 min,7.4,4198,53,24,91,8,0,0,tbd,2,0,0
Ruggles of Red Gap,90 min,7.6,3971,40,34,,,,,,,,
All the King's Horses,87 min,5.7,121,5,,,,,,,,,
Folies Bergère de Paris,82 min,6.6,295,12,,,,,,,,,
Roberta,106 min,7.0,3275,71,22,66,7,3,0,tbd,0,0,0
Naughty Marietta,105 min,6.6,1367,33,9,,,,,,,,
Private Worlds,84 min,6.5,334,10,4,,,,,,,,
Gold Diggers of 1935,95 min,6.9,2683,50,26,,,,,,,,
The Calico Dragon,8 min,5.7,330,7,2,,,,,,,,
Escape Me Never,95 min,5.5,133,4,,,,,,,,,
Les Misérables,108 min,7.7,3555,38,19,,,,,,,,
Black Fury,94 min,6.5,962,24,13,,,,,,,,
'G' Men,85 min,7.1,3887,46,21,,,,,,,,
The Bride of Frankenstein,75 min,7.8,47331,311,131,95,16,0,0,8.5,14,1,0
Go Into Your Dance,89 min,6.3,383,21,3,,,,,,,,
The Scoundrel,76 min,6.3,358,21,7,,,,,,,,
The Informer,91 min,7.4,6407,62,40,65,5,2,1,tbd,0,0,0
Becky Sharp,84 min,5.9,1093,38,25,,,,,,,,
Who Killed Cock Robin?,8 min,7.0,787,11,,,,,,,,,
Love Me Forever,91 min,6.6,123,7,,,,,,,,,
She,101 min,6.4,1680,47,29,,,,,,,,
Top Hat,101 min,7.7,18945,140,60,92,14,1,0,7.0,3,1,0
Alice Adams,99 min,6.9,4112,67,20,,,,,,,,
The Crusades,125 min,6.6,1124,20,15,,,,,,,,
Broadway Melody of 1936,101 min,6.8,1784,33,13,,,,,,,,
Camera Thrills,25 min,7.2,12,,,,,,,,,,
The Dark Angel,106 min,6.7,846,20,6,,,,,,,,
The Gay Deception,77 min,6.8,367,8,6,,,,,,,,
How to Sleep,11 min,6.4,639,19,2,,,,,,,,
The Big Broadcast of 1936,97 min,5.7,308,10,3,,,,,,,,
Popular Science,11 min,6.1,12,,,,,,,,,,
A Midsummer Night's Dream,133 min,6.9,3479,66,34,,,,,,,,
Barbary Coast,91 min,6.8,1749,33,24,,,,,,,,
"Oh, My Nerves",18 min,6.0,12,,,,,,,,,,
"1, 000 Dollars a Minute",70 min,6.1,148,2,,,,,,,,,
Three Orphan Kittens,9 min,6.9,1191,8,2,,,,,,,,
Peter Ibbetson,85 min,7.0,2171,38,22,,,,,,,,
Mutiny on the Bounty,132 min,7.7,22672,128,70,87,11,1,0,8.2,5,0,0
Thanks a Million,87 min,6.3,228,9,5,,,,,,,,
I Dream Too Much,97 min,5.3,585,10,3,,,,,,,,
Broadway Hostess,68 min,5.2,367,12,3,,,,,,,,
La Fiesta de Santa Barbara,19 min,6.0,284,13,,,,,,,,,
A Tale of Two Cities,128 min,7.8,5687,76,20,87,9,0,0,tbd,1,0,0
Captain Blood,119 min,7.7,14203,130,53,89,15,0,0,tbd,0,1,0
Dangerous,79 min,6.8,3285,44,18,,,,,,,,
Audioscopiks,8 min,5.7,182,3,,,,,,,,,
King of Burlesque,90 min,6.2,203,11,6,,,,,,,,
Double or Nothing,21 min,6.2,56,3,,,,,,,,,
Moscow Moods,11 min,7.9,13,,,,,,,,,,
The Trail of the Lonesome Pine,102 min,6.8,1215,20,17,,,,,,,,
The Story of Louis Pasteur,86 min,7.3,2760,43,11,,,,,,,,
The Old Mill Pond,8 min,5.4,253,8,,,,,,,,,
These Three,93 min,7.4,2692,46,15,,,,,,,,
The Great Ziegfeld,176 min,6.7,8096,90,49,,,,,,,,
Mr. Deeds Goes to Town,115 min,7.8,21267,142,50,,,,,,,,
Dancing Pirate,83 min,5.0,323,25,10,,,,,,,,
Fury,92 min,7.9,12406,93,51,,,,,,,,
San Francisco,115 min,7.2,5550,93,37,,,,,,,,
Suzy,93 min,6.4,1448,22,11,,,,,,,,
Dummy Ache,18 min,6.3,29,,,,,,,,,,
Anthony Adverse,141 min,6.3,1816,38,14,,,,,,,,
The Last of the Mohicans,91 min,6.7,1407,31,10,,,,,,,,
Bored of Education,10 min,7.1,317,5,,,,,,,,,
Romeo and Juliet,125 min,6.5,2008,52,15,,,,,,,,
"Sing, Baby, Sing",90 min,5.9,128,9,3,,,,,,,,
The Texas Rangers,98 min,6.6,775,19,12,,,,,,,,
Swing Time,103 min,7.5,13438,111,67,91,16,0,0,tbd,1,2,0
The Gorgeous Hussy,103 min,5.6,1220,26,7,,,,,,,,
My Man Godfrey,94 min,8.0,23449,471,92,82,15,0,0,tbd,1,0,0
