title,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score
Women in Love,73,50,,,,,,,,
It's Tough to Be a Bird,4,,,,,,,,,
"They Shoot Horses, Don't They?",119,66,72,6,2,0,7.3,5,2,0
Cactus Flower,75,41,67,2,3,0,8.0,5,0,0
"Hello, Dolly!",145,34,51,3,8,0,tbd,1,2,0
Anne of the Thousand Days,86,32,,,,,,,,
Czechoslovakia 1918-1968,2,,,,,,,,,
The Magic Machines,,,,,,,,,,
MASH,274,128,80,7,1,0,7.3,47,11,4
Patton,322,119,91,9,0,0,8.3,111,9,2
Investigation of a Citizen Above Suspicion,40,67,89,10,0,0,7.8,10,1,1
Airport,204,83,42,0,5,0,7.7,7,2,0
Woodstock,74,67,95,9,0,0,tbd,1,0,0
Let It Be,85,16,69,5,2,0,tbd,3,0,0
The Resurrection of Broncho Billy,5,5,,,,,,,,
Cromwell,109,25,,,,,,,,
Lovers and Other Strangers,23,14,,,,,,,,
Tora! Tora! Tora!,,,,,,,,,,
Ryan's Daughter,138,46,,,,,,,,
Is It Always Right to Be Right?,12,,,,,,,,,
The Garden of the Finzi-Continis,40,44,,,,,,,,
Love Story,207,61,84,4,1,0,7.6,24,8,1
Interviews with My Lai Veterans,4,2,,,,,,,,
Summer of '42,117,33,,,,,,,,
The Hellstrom Chronicle,20,24,,,,,,,,
Sentinels of Silence,3,,,,,,,,,
Klute,162,89,81,13,2,0,7.5,3,1,0
Shaft,105,71,66,9,1,0,7.3,6,1,0
The Last Picture Show,215,100,93,15,0,0,8.4,24,1,0
Bedknobs and Broomsticks,121,54,59,5,6,0,6.7,4,1,1
The French Connection,374,174,94,17,1,0,8.4,163,23,4
Fiddler on the Roof,185,68,67,9,4,0,7.9,13,1,1
Nicholas and Alexandra,74,23,,,,,,,,
The Hospital,81,38,72,4,3,0,tbd,2,0,0
A Christmas Carol,31,7,,,,,,,,
The Crunch Bird,10,,,,,,,,,
Cabaret,,,,,,,,,,
The Godfather,4.9K,272,100,16,0,0,9.2,"3,483",98,116
Marjoe,30,37,,,,,,,,
The Candidate,84,49,66,7,2,1,6.8,2,2,0
Norman Rockwell's World... An American Dream,,,,,,,,,,
Butterflies Are Free,45,11,,,,,,,,
The Discreet Charm of the Bourgeoisie,94,95,93,12,0,0,8.0,57,4,8
The Poseidon Adventure,302,73,70,8,2,0,7.7,11,3,0
Travels with My Aunt,32,17,,,,,,,,
Cries & Whispers,229,97,,,,,,,,
This Tiny World,,,,,,,,,,
Save the Tiger,60,38,,,,,,,,
Paper Moon,173,62,77,6,2,0,8.6,21,1,0
Frank Film,9,3,,,,,,,,
Day for Night,84,88,,,,,,,,
A Touch of Class,41,17,,,,,,,,
The Paper Chase,95,22,65,3,4,0,tbd,2,0,0
The Way We Were,132,54,61,6,5,0,7.1,5,2,0
The Bolero,6,,,,,,,,,
Amarcord,135,108,,,,,,,,
The Sting,340,132,83,12,5,0,8.2,56,5,2
The Exorcist,1.3K,230,81,16,5,0,8.7,435,33,17
Princeton: A Search for Answers,3,,,,,,,,,
The Great Gatsby,159,46,43,2,1,2,6.0,11,9,5
Hearts and Minds,46,68,68,6,3,0,7.2,10,1,2
Chinatown,594,161,92,22,0,0,8.8,331,19,6
Harry and Tonto,74,40,72,9,4,0,tbd,1,0,0
The Great American Cowboy,,2,,,,,,,,
Closed Mondays,12,2,,,,,,,,
One-Eyed Men Are Kings,,,,,,,,,,
Earthquake,185,86,56,2,3,1,6.5,1,3,0
Murder on the Orient Express,251,74,63,4,1,1,7.1,22,6,2
Alice Doesn't Live Here Anymore,118,62,78,7,4,0,7.1,13,5,1
The Godfather: Part II,1.2K,183,90,17,1,0,9.1,992,30,31
The Towering Inferno,260,92,69,9,2,0,8.2,15,1,0
Shampoo,126,63,65,7,4,0,6.8,4,2,0
Nashville,189,109,96,24,0,0,8.6,13,0,0
Jaws,1.3K,287,87,19,2,0,8.7,609,34,17
Dersu Uzala,109,54,,,,,,,,
Dog Day Afternoon,353,92,86,14,1,0,8.6,75,3,1
The Man Who Skied Down Everest,17,15,,,,,,,,
Don't,,,,,,,,,,
The Sunshine Boys,60,20,,,,,,,,
One Flew Over the Cuckoo's Nest,1.1K,178,84,18,2,0,8.8,472,23,15
Barry Lyndon,513,115,89,19,2,0,8.6,76,8,4
The End of the Game,2,,,,,,,,,
Great (Isambard Kingdom Brunel),20,2,,,,,,,,
All the President's Men,276,152,84,17,1,0,8.1,41,3,0
Angel and Big Joe,,,,,,,,,,
The Omen,402,148,62,5,5,0,7.9,46,5,0
Black and White in Color,20,10,,,,,,,,
In the Region of Ice,,,,,,,,,,
Harlan County U.S.A.,58,36,80,5,0,0,6.5,10,2,3
Network,425,182,83,13,2,1,8.4,59,6,2
Rocky,778,190,70,10,4,0,8.5,180,13,7
Bound for Glory,57,39,70,6,4,0,tbd,0,0,0
Fellini's Casanova,47,54,,,,,,,,
A Star Is Born,108,45,59,4,5,0,4.4,2,11,5
Leisure,4,,,,,,,,,
Number Our Days,3,,,,,,,,,
The Fifth Estate,,,,,,,,,,
Annie Hall,558,153,92,19,1,0,6.6,136,18,42
Star Wars,2K,207,90,22,1,1,8.8,"2,286",75,62
The Sand Castle,5,,,,,,,,,
You Light Up My Life,26,9,,,,,,,,
A Little Night Music,37,7,,,,,,,,
Who Are the DeBolts? and Where Did They Get Nineteen Kids?,3,7,,,,,,,,
Julia,62,41,58,3,3,0,tbd,2,0,0
Gravity Is My Enemy,,,,,,,,,,
Madame Rosa,9,8,,,,,,,,
Close Encounters of the Third Kind,492,228,90,10,0,0,7.8,185,34,7
The Goodbye Girl,96,42,64,7,4,0,7.1,6,1,0
I'll Find a Way,2,,,,,,,,,
Get Out Your Handkerchiefs,26,29,,,,,,,,
Coming Home,82,52,61,3,6,0,tbd,1,2,0
The Buddy Holly Story,72,33,78,11,0,0,tbd,0,1,0
Midnight Express,301,74,59,5,5,1,7.7,17,7,0
Thank God It's Friday,55,24,,,,,,,,
Heaven Can Wait,121,49,72,7,3,0,7.9,8,0,0
Days of Heaven,235,119,93,17,2,0,8.4,145,15,5
Death on the Nile,157,70,59,2,6,0,6.9,5,2,0
Special Delivery,10,,,,,,,,,
The Flight of the Gossamer Condor,2,,,,,,,,,
The Deer Hunter,1.2K,141,86,16,2,0,7.6,183,25,28
California Suite,60,35,,,,,,,,
Scared Straight!,15,9,,,,,,,,
Teenage Father,,,,,,,,,,
Norma Rae,58,36,61,6,3,1,7.4,10,2,0
A Little Romance,64,27,52,5,4,1,tbd,0,0,0
The Tin Drum,91,93,63,7,4,0,7.4,5,0,0
Apocalypse Now,1.3K,297,94,14,1,0,8.8,650,35,24
Alien,1.6K,318,89,31,1,2,8.9,967,30,16
Breaking Away,121,70,91,15,0,0,8.4,14,1,0
Best Boy,6,8,,,,,,,,
Tess,94,68,82,12,3,0,8.5,11,1,0
Paul Robeson: Tribute to an Artist,6,2,,,,,,,,
Kramer vs. Kramer,258,95,77,7,1,1,8.4,84,7,2
All That Jazz,181,99,72,8,4,1,7.8,15,4,0
Being There,355,122,83,15,1,0,7.4,13,4,1
Every Child,6,,,,,,,,,
From Mao to Mozart: Isaac Stern in China,2,5,,,,,,,,
Moscow Does Not Believe in Tears,48,12,,,,,,,,
Coal Miner's Daughter,107,50,87,6,0,0,6.8,6,0,2
Board and Care,2,,,,,,,,,
The Fly,10,,,,,,,,,
Fame,120,52,58,6,5,1,tbd,2,1,0
Star Wars: Episode V - The Empire Strikes Back,1.3K,236,82,19,6,0,9.1,"1,896",36,74
Melvin and Howard,41,28,,,,,,,,
Ordinary People,348,74,86,17,1,0,6.5,35,6,11
Karl Hess: Toward Liberty,2,,,,,,,,,
Raging Bull,654,151,89,25,1,1,7.0,419,32,116
Crac,11,,,,,,,,,
Mephisto,26,35,,,,,,,,
The Dollar Bottom,3,,,,,,,,,
Chariots of Fire,259,96,78,13,5,1,7.2,10,5,0
Tango,10,4,,,,,,,,
Indiana Jones and the Raiders of the Lost Ark,1K,272,85,14,1,1,8.9,865,36,21
Arthur,142,48,69,7,5,0,7.3,6,3,0
An American Werewolf in London,461,256,55,7,6,2,7.9,81,15,4
On Golden Pond,143,44,68,9,4,1,7.4,7,1,0
Reds,151,59,76,11,4,0,8.3,14,1,1
Quest for Fire,113,67,79,6,5,0,6.0,3,1,1
Close Harmony,,,,,,,,,,
Violet,,,,,,,,,,
Missing,106,69,78,8,2,0,7.6,7,2,0
Genocide,10,3,,,,,,,,
Volver a empezar,15,5,,,,,,,,
Victor/Victoria,133,40,84,10,2,0,7.5,7,3,0
E.T. the Extra-Terrestrial,677,253,91,28,2,0,8.2,463,54,25
An Officer and a Gentleman,168,52,75,6,2,0,7.6,34,8,1
If You Love This Planet,8,2,,,,,,,,
A Shocking Accident,,,,,,,,,,
Gandhi,321,110,79,12,4,0,8.7,33,2,0
Tootsie,262,98,88,19,2,0,8.0,93,13,3
Sophie's Choice,194,42,68,7,1,1,7.8,40,4,4
Fanny and Alexander,156,102,100,8,0,0,8.5,95,12,5
The Year of Living Dangerously,117,38,65,5,4,0,7.7,17,4,2
Tender Mercies,90,36,76,7,2,0,tbd,2,0,0
Flashdance,167,65,39,2,3,6,6.3,22,16,9
The Right Stuff,206,71,91,15,1,0,8.1,18,2,1
Boys and Girls,4,,,,,,,,,
Yentl,100,32,68,6,5,0,7.0,2,2,0
Terms of Endearment,222,63,79,8,2,0,7.5,44,9,3
He Makes Me Feel Like Dancin',,,,,,,,,,
Flamenco at 5:15,4,,,,,,,,,
Sundae in New York,9,,,,,,,,,
Dangerous Moves,10,9,,,,,,,,
Indiana Jones and the Temple of Doom,754,168,57,7,6,1,7.7,339,51,17
Charade,8,,,,,,,,,
Purple Rain,135,81,55,7,5,2,7.0,22,7,4
The Woman in Red,60,28,55,4,5,1,6.8,2,2,0
Anna & Bella,7,,,,,,,,,
Amadeus,696,126,88,25,3,0,8.3,350,23,29
Places in the Heart,68,33,70,9,3,0,8.1,6,1,0
The Times of Harvey Milk,47,44,,,,,,,,
The Killing Fields,225,73,76,15,2,1,7.3,5,0,1
A Passage to India,116,51,78,10,4,0,tbd,2,1,0
The Stone Carvers,2,,,,,,,,,
Witness,235,105,76,10,4,0,8.3,75,11,1
Mask,110,29,73,8,3,0,8.4,7,1,0
Artie Shaw: Time Is All You've Got,4,,,,,,,,,
The Official Story,53,29,,,,,,,,
Witness to War: Dr. Charlie Clements,,,,,,,,,,
Up,4,,,,,,,,,
Kiss of the Spider Woman,70,47,80,10,0,0,8.2,11,3,0
Ran,322,167,96,20,1,0,8.4,152,18,8
Prizzi's Honor,98,48,84,13,3,0,6.3,5,2,1
Cocoon,104,61,65,10,7,0,7.9,13,4,0
A Greek Tragedy,5,,,,,,,,,
Back to the Future,1.4K,259,87,25,1,0,9.0,864,23,19
Broken Rainbow,7,5,,,,,,,,
White Nights,48,19,46,4,3,3,7.8,3,2,0
Out of Africa,261,77,69,9,9,0,6.9,9,4,1
A Room with a View,119,61,83,18,2,1,7.3,37,3,6
The Trip to Bountiful,73,18,81,7,3,0,tbd,0,0,0
Molly's Pilgrim,,,,,,,,,,
Hannah and Her Sisters,195,80,90,12,0,0,8.0,73,6,5
The Assault,16,10,,,,,,,,
Precious Images,11,,,,,,,,,
Top Gun,581,208,50,6,7,2,7.2,60,25,5
The Mission,234,68,55,8,9,1,8.6,8,1,0
Aliens,1.4K,219,84,20,2,0,9.0,916,29,16
The Fly,414,193,79,8,2,1,8.3,161,17,6
'Round Midnight,25,16,,,,,,,,
Children of a Lesser God,72,34,80,10,3,0,7.8,4,0,0
The Color of Money,163,61,77,15,2,0,7.6,24,7,0
Platoon,659,134,92,16,0,0,8.0,112,14,6
Down and Out in America,3,,,,,,,,,
"Women - for America, for the World",,,,,,,,,,
The Man Who Planted Trees,41,8,,,,,,,,
Babette's Feast,122,67,78,15,3,0,8.0,4,0,0
The Untouchables,575,136,79,13,,,79,13,,
Harry and the Hendersons,60,31,42,2,6,2,6.5,9,9,2
Innerspace,105,79,66,9,6,0,8.3,7,0,0
Dirty Dancing,519,117,65,14,5,1,7.6,87,20,7
 American Masters,2,,,,,,,,,
The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,7,,,,,,,,,
The Last Emperor,196,85,76,14,1,0,8.1,63,7,2
Ray's Male Heterosexual Dance Hall,5,,,,,,,,,
Moonstruck,194,85,83,16,2,0,8.4,88,8,7
Wall Street,251,116,56,8,6,2,8.5,117,14,3
Pelle the Conqueror,56,25,,,,,,,,
Young at Heart,,,,,,,,,,
The Milagro Beanfield War,59,14,,,,,,,,
Beetlejuice,431,127,70,13,4,1,8.6,348,24,6
Bird,48,32,78,13,1,0,7.2,10,2,2
Hôtel Terminus,21,27,,,,,,,,
Who Framed Roger Rabbit,321,148,83,10,4,1,8.6,282,15,11
A Fish Called Wanda,261,112,80,14,2,1,8.4,131,11,7
Tin Toy,29,10,,,,,,,,
The Appointments of Dennis Jennings,6,,,,,,,,,
Cinema Paradiso,581,118,80,18,3,0,8.8,174,9,8
The Accused,121,37,65,8,4,0,8.1,17,2,0
Mississippi Burning,230,74,65,8,1,2,8.4,90,6,6
Dangerous Liaisons,167,57,74,13,3,1,7.6,62,6,5
Rain Man,499,96,65,12,4,2,8.5,265,26,6
Working Girl,163,53,73,14,2,1,8.3,49,9,1
The Accidental Tourist,111,39,53,6,2,4,7.2,10,6,2
You Don't Have to Die,2,,,,,,,,,
My Left Foot,116,55,97,17,0,0,8.4,76,6,1
Indiana Jones and the Last Crusade,650,178,65,8,5,1,8.4,450,34,15
Dead Poets Society,732,114,79,11,3,0,8.3,244,17,10
Batman,1K,234,69,16,5,0,8.1,735,67,41
Balance,26,7,,,,,,,,
Creature Comforts,24,8,,,,,,,,
The Abyss,487,106,62,7,6,1,7.6,93,15,5
Henry V,129,48,83,17,0,0,7.2,20,8,1
Common Threads: Stories from the Quilt,9,7,,,,,,,,
The Little Mermaid,316,112,88,21,3,0,7.7,92,11,5
The Lunch Date,142,,,,,,,,,
Driving Miss Daisy,204,70,81,15,2,0,8.2,87,14,2
Glory,488,69,78,19,3,0,7.8,12,1,0
Born on the Fourth of July,220,55,75,10,6,0,7.8,65,11,3
The Johnstown Flood,2,,,,,,,,,
Work Experience,,,,,,,,,,
The Hunt for Red October,338,116,58,9,6,2,7.5,103,14,14
Cyrano de Bergerac,90,32,79,17,2,0,7.9,7,1,0
Dick Tracy,202,100,68,16,8,0,7.1,5,2,0
Ghost,353,98,52,5,10,2,8.4,167,22,14
Journey of Hope,17,30,,,,,,,,
Goodfellas,1.6K,158,90,20,1,0,8.7,"1,076",29,60
Reversal of Fortune,77,39,93,17,1,0,8.1,32,1,1
American Dream,17,15,,,,,,,,
Dances with Wolves,524,90,72,15,4,1,8.5,204,12,5
Misery,463,174,75,20,3,0,8.3,77,7,1
Manipulation,5,,,,,,,,,
The Silence of the Lambs,1.5K,245,85,18,2,0,8.8,761,22,15
Mediterraneo,52,13,,,,,,,,
Days of Waiting,2,,,,,,,,,
Thelma & Louise,371,131,88,12,0,0,8.2,157,19,7
City Slickers,107,54,70,19,6,0,7.5,8,3,0
Terminator 2: Judgment Day,1.4K,303,75,18,3,1,9.0,"1,134",32,55
In the Shadow of the Stars,4,3,,,,,,,,
The Fisher King,222,95,61,6,2,1,8.4,95,10,4
Beauty and the Beast,473,208,95,22,0,0,8.5,275,18,8
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",2,,,,,,,,,
Bugsy,84,58,80,25,2,0,8.1,13,2,0
JFK,536,91,72,22,5,2,8.4,87,8,3
Session Man,8,,,,,,,,,
Howards End,113,56,88,10,1,0,8.1,31,6,1
My Cousin Vinny,308,54,68,17,,,68,17,,
Indochine,60,27,,,,,,,,
Omnibus,5,,,,,,,,,
Death Becomes Her,241,89,56,10,14,0,8.5,40,7,0
The Panama Deception,23,15,,,,,,,,
Unforgiven,669,136,85,29,3,1,8.4,241,22,9
The Last of the Mohicans,501,88,76,17,1,0,8.1,111,13,6
The Crying Game,189,60,90,21,1,0,7.6,59,12,5
A River Runs Through It,175,55,68,15,6,0,7.0,30,11,2
Mona Lisa Descending a Staircase,11,2,,,,,,,,
Aladdin,375,152,86,24,0,1,8.7,180,8,1
Bram Stoker's Dracula,830,200,57,10,4,3,8.4,303,37,20
Belle Epoque,52,16,,,,,,,,
Scent of a Woman,477,60,59,7,5,2,8.5,228,22,12
Educating Peter,8,,,,,,,,,
Black Rider,13,,,,,,,,,
The Piano,292,80,89,19,0,1,8.0,102,15,8
Jurassic Park,1.3K,241,68,15,,,68,15,,
The Fugitive,384,115,87,31,1,0,8.7,282,14,7
The Age of Innocence,201,75,90,32,3,0,7.9,75,8,7
The Wrong Trousers,115,25,,,,,,,,
I Am a Promise: The Children of Stanton Elementary School,6,2,,,,,,,,
Mrs. Doubtfire,322,59,53,8,5,3,8.1,182,27,9
Schindler's List,2.1K,169,94,25,,,94,25,,
Philadelphia,319,68,66,15,5,1,7.7,120,18,3
Bob's Birthday,8,,,,,,,,,
Franz Kafka's It's a Wonderful Life,12,3,,,,,,,,
"The Adventures of Priscilla, Queen of the Desert",165,39,70,14,6,0,7.9,26,2,1
Trevor,12,,,,,,,,,
Burnt by the Sun,84,30,,,,,,,,
Defending Our Lives,3,,,,,,,,,
Pulp Fiction,3.4K,293,94,23,1,0,9.0,"2,999",82,131
Speed,522,139,78,15,2,0,8.6,324,29,12
The Lion King,1.1K,227,88,28,2,0,8.8,798,28,36
Forrest Gump,2.9K,168,82,18,2,0,7.8,"1,204",48,225
Blue Sky,42,33,,,,,,,,
The Postman,133,39,81,11,2,0,8.1,30,2,0
Bullets Over Broadway,97,66,,,,,,,,
Ed Wood,483,108,70,14,3,2,7.2,176,18,38
Maya Lin: A Strong Clear Vision,8,8,,,,,,,,
Legends of the Fall,449,71,45,7,6,10,7.0,57,21,9
The Madness of King George,68,41,89,19,0,0,7.5,6,2,0
A Time for Justice,,,,,,,,,,
The Usual Suspects,1.4K,147,77,18,3,1,8.8,599,34,17
One Survivor Remembers,2,,,,,,,,,
Braveheart,1.3K,148,68,15,3,2,8.3,538,42,51
Anne Frank Remembered,15,18,,,,,,,,
Pocahontas,284,93,58,14,6,3,7.2,94,47,7
Apollo 13,439,161,77,17,5,0,8.0,193,26,4
Babe,237,54,83,16,0,0,7.7,92,27,4
Mighty Aphrodite,98,55,59,9,7,0,8.4,44,4,0
Antonia's Line,82,48,,,,,,,,
Leaving Las Vegas,374,107,82,21,2,0,8.7,215,13,9
Sense and Sensibility,281,59,84,21,0,0,8.3,93,6,2
A Close Shave,65,23,,,,,,,,
Dead Man Walking,233,68,80,22,2,2,7.8,57,12,4
Restoration,51,20,66,12,4,0,tbd,2,0,0
Lieberman in Love,2,,,,,,,,,
Shine,125,64,87,25,0,0,8.2,53,6,0
When We Were Kings,71,73,83,20,1,0,8.5,18,0,2
Fargo,1K,231,85,22,3,0,8.7,690,50,18
Breathing Lessons: The Life and Work of Mark O'Brien,8,,,,,,,,,
Quest,6,,,,,,,,,
Kolya,66,62,,,,,,,,
Emma,163,57,66,15,6,1,8.2,34,4,2
Independence Day,1K,197,59,9,8,2,6.8,205,99,30
The Nutty Professor,138,51,62,13,7,0,6.9,40,34,4
Sling Blade,342,85,84,25,1,0,8.4,84,9,2
The Ghost and the Darkness,198,69,,,,,,,,
The English Patient,545,126,87,28,3,0,7.2,129,26,21
Jerry Maguire,394,124,77,24,4,0,8.4,200,22,6
Evita,215,66,45,8,12,3,7.8,89,11,17
Dear Diary,3,,,,,,,,,
Character,72,51,,,,,,,,
Visas and Virtue,3,3,,,,,,,,
The Long Way Home,6,12,,,,,,,,
L.A. Confidential,789,147,90,27,1,0,8.7,537,22,15
Men in Black,383,164,71,15,7,0,8.7,575,57,7
The Full Monty,208,86,75,29,2,0,8.5,79,8,2
Affliction,203,66,79,29,5,1,8.2,21,2,1
Titanic,3.1K,331,75,26,6,3,8.5,"1,234",79,99
Geri's Game,50,14,,,,,,,,
Good Will Hunting,995,158,70,23,5,0,8.7,549,29,12
As Good as It Gets,598,135,67,19,10,1,8.6,251,26,7
Life Is Beautiful,1.4K,153,59,21,6,5,7.8,283,32,42
A Story of Healing,,,,,,,,,,
Gods and Monsters,245,68,74,28,3,1,7.6,24,8,0
Saving Private Ryan,2.8K,267,91,37,1,0,8.9,"1,145",39,39
The Red Violin,280,57,57,11,10,1,8.0,21,1,2
Elizabeth,448,114,75,25,4,1,7.4,59,7,9
What Dreams May Come,704,80,44,4,15,6,6.8,48,27,9
The Last Days,37,40,85,23,2,0,tbd,2,0,0
My Mother Dreams the Satan's Disciples in New York,8,,,,,,,,,
Bunny,23,2,,,,,,,,
Shakespeare in Love,812,120,87,30,3,0,7.1,130,36,19
The Prince of Egypt,460,101,64,18,7,1,8.6,157,11,5
Election Night,12,4,,,,,,,,
The Matrix,4.8K,250,73,29,5,1,8.9,"1,763",65,52
All About My Mother,256,86,87,34,0,0,8.5,100,7,0
The Personals,,,,,,,,,,
Tarzan,328,134,79,22,5,0,7.8,194,29,11
The Old Man and the Sea,16,10,,,,,,,,
Boys Don't Cry,453,71,86,32,1,0,7.6,95,13,7
Topsy-Turvy,216,76,90,30,1,0,8.0,23,3,1
The Cider House Rules,437,119,75,29,3,0,8.6,108,8,6
American Beauty,3K,212,84,30,3,1,8.9,"1,089",34,47
One Day in September,63,53,82,19,1,0,5.8,10,1,6
Sleepy Hollow,1K,244,65,26,8,1,8.8,543,47,8
"Girl, Interrupted",451,63,51,14,14,4,7.5,85,25,6
King Gimp,4,,,,,,,,,
Wonder Boys,363,143,73,28,8,0,8.0,37,5,2
Erin Brockovich,562,138,73,26,9,1,8.2,144,20,5
U-571,660,147,62,22,11,2,6.8,34,10,6
Gladiator,2.8K,218,67,33,12,1,8.8,942,56,24
"Crouching Tiger, Hidden Dragon",1.7K,282,94,32,0,0,8.1,556,52,56
Quiero ser (I want to be...),2,,,,,,,,,
For the Birds,66,11,,,,,,,,
Pollock,158,110,77,28,3,0,8.7,56,6,1
Into the Arms of Strangers: Stories of the Kindertransport,20,30,79,23,2,0,7.4,6,1,0
Almost Famous,921,169,90,37,1,0,6.1,292,26,130
Father and Daughter,225,7,,,,,,,,
How the Grinch Stole Christmas,677,129,46,11,10,8,6.5,116,81,25
Traffic,912,178,86,31,3,0,8.8,293,23,6
Big Mama,,,,,,,,,,
The Accountant,35,3,,,,,,,,
Shrek,1.1K,173,84,31,3,0,8.8,951,37,22
Moulin Rouge!,2.3K,201,66,22,10,3,8.4,402,38,37
No Man's Land,187,103,84,28,1,0,8.0,36,4,4
Pearl Harbor,2K,163,44,9,20,6,5.6,110,77,73
Spirited Away,1.5K,211,96,41,0,0,8.9,"1,755",44,105
Training Day,765,125,69,26,8,1,8.8,403,23,4
Murder on a Sunday Morning,32,8,,,,,,,,
"Monsters, Inc.",762,242,79,31,4,0,8.6,659,24,12
Gosford Park,685,130,90,32,1,1,7.3,124,17,20
Monster's Ball,545,138,69,25,6,1,4.0,41,17,53
The Lord of the Rings: The Fellowship of the Ring,5.6K,212,92,33,1,0,9.1,"2,193",59,81
A Beautiful Mind,1.3K,154,72,22,,,72,22,,
Iris,152,91,76,25,5,0,7.3,16,3,1
Black Hawk Down,1.1K,213,74,24,8,1,7.9,275,27,16
Nowhere in Africa,93,74,72,23,8,0,7.9,16,0,1
Talk to Her,275,90,86,31,3,0,8.2,77,9,2
Thoth,5,5,,,,,,,,
Bowling for Columbine,896,204,72,24,8,0,7.1,95,6,23
The Pianist,1K,140,85,37,3,0,7.9,428,25,52
The Chubbchubbs!,25,3,,,,,,,,
Road to Perdition,1.1K,207,72,29,7,0,8.0,339,33,33
Frida,305,131,61,20,17,1,7.2,45,5,3
8 Mile,657,112,77,34,4,0,8.6,542,39,23
This Charming Man,10,2,,,,,,,,
Adaptation.,779,107,83,36,2,2,8.1,223,28,15
The Lord of the Rings: The Two Towers,2.6K,313,87,38,1,0,9.0,"1,772",43,63
Chicago,1K,213,81,32,5,2,7.9,190,38,10
The Hours,696,159,80,35,4,1,8.6,181,21,9
Twin Towers,7,3,,,,,,,,
Finding Nemo,1K,157,90,37,1,0,8.7,995,41,32
The Fog of War,166,132,87,33,3,0,7.5,35,2,7
The Barbarian Invasions,173,121,70,27,5,2,5.6,9,2,4
Mystic River,1.1K,217,84,37,4,1,7.1,339,39,66
Harvie Krumpet,31,22,,,,,,,,
Two Soldiers,11,2,,,,,,,,
Chernobyl Heart,14,,,,,,,,,
Lost in Translation,2K,287,89,42,2,0,7.5,605,66,105
Wasp,27,12,,,,,,,,
Master and Commander: The Far Side of the World,785,259,81,34,7,1,6.6,198,24,64
Monster,604,189,74,35,5,0,7.3,103,19,16
The Lord of the Rings: The Return of the King,4K,339,94,40,1,0,8.9,"2,882",72,198
Cold Mountain,722,171,73,34,6,1,5.8,105,24,51
The Motorcycle Diaries,312,190,75,31,6,0,7.6,54,8,4
Born Into Brothels: Calcutta's Red Light Kids,104,68,78,30,2,0,8.1,19,2,1
Eternal Sunshine of the Spotless Mind,1.9K,301,89,40,1,0,8.9,"1,037",43,34
Ryan,26,8,,,,,,,,
Spider-Man 2,1.6K,324,83,37,4,0,8.6,"1,950",125,127
The Sea Inside,152,158,74,33,5,0,8.1,48,3,4
Finding Neverland,678,206,67,27,11,0,7.8,135,28,4
Crash,1.7K,280,66,20,15,1,8.5,607,48,55
Ray,480,132,73,29,11,0,8.8,188,15,6
Sideways,918,183,94,41,1,0,7.0,360,84,93
Six Shooter,35,12,,,,,,,,
The Incredibles,1K,239,90,40,1,0,8.8,"1,171",63,34
Million Dollar Baby,1.3K,260,86,35,2,2,7.5,480,33,88
The Aviator,880,265,77,36,5,0,8.6,462,40,13
A Series of Unfortunate Events,653,179,62,24,12,1,6.9,145,55,24
Mighty Times: The Children's March,2,,,,,,,,,
The Moon and the Son: An Imagined Conversation,13,4,,,,,,,,
West Bank Story,19,7,,,,,,,,
March of the Penguins,353,163,79,35,4,0,7.8,84,13,7
Hustle & Flow,218,145,68,30,7,0,8.8,118,4,8
The Constant Gardener,624,224,82,37,2,0,7.0,189,49,48
Tsotsi,185,156,70,28,7,0,7.7,31,6,2
A Note of Triumph: The Golden Age of Norman Corwin,2,3,,,,,,,,
Capote,459,275,88,38,2,0,7.7,211,36,18
Brokeback Mountain,2.4K,240,87,37,4,0,8.2,"1,239",77,179
Wallace & Gromit: The Curse of the Were-Rabbit,350,132,87,38,0,0,8.2,268,29,15
Walk the Line,926,268,72,30,9,0,8.3,315,38,20
Syriana,649,341,76,36,4,0,7.7,284,50,54
Memoirs of a Geisha,632,212,54,16,19,3,6.8,127,43,33
King Kong,2.7K,234,81,32,6,1,7.4,"1,125",171,249
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1.6K,260,75,31,7,1,6.0,446,125,217
Little Miss Sunshine,1K,244,80,34,2,0,7.5,535,50,100
An Inconvenient Truth,543,117,75,27,3,2,8.0,205,16,29
The Danish Poet,14,14,,,,,,,,
The Lives of Others,556,219,89,38,1,0,8.8,352,13,10
The Mozart of Pickpockets,4,8,,,,,,,,
Babel,989,259,69,30,8,0,6.7,549,105,207
Marie Antoinette,708,254,65,22,10,5,5.8,205,44,122
Pan's Labyrinth,1.3K,461,98,37,0,0,8.7,"2,435",192,150
The Blood of Yingzhou District,4,5,,,,,,,,
Pirates of the Caribbean: Dead Man's Chest,1.9K,318,53,15,18,4,7.2,691,177,119
The Last King of Scotland,388,237,74,33,3,0,8.0,150,25,4
The Queen,473,273,91,37,0,0,6.7,262,45,79
Peter and The Wolf,23,16,,,,,,,,
The Departed,2.4K,293,85,36,3,0,7.0,"1,330",119,423
